time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
0.025453	4	1013.893	44.228	1459.598	158.825	3003.015	361.786	3934.818	245.767	--undefined--	--undefined--
0.031703	4	1017.933	26.406	1488.862	188.543	3003.370	404.996	3915.956	282.236	--undefined--	--undefined--
0.037953	4	1023.260	27.433	1503.707	309.216	3001.262	300.867	3850.947	352.982	--undefined--	--undefined--
0.044203	4	1026.616	32.310	1534.457	205.395	3022.484	203.499	3906.002	316.418	--undefined--	--undefined--
0.050453	4	1030.150	27.072	1510.838	82.123	3040.053	158.938	3935.760	217.679	--undefined--	--undefined--
0.056703	4	1033.176	28.481	1496.472	111.940	3033.538	136.852	3889.128	277.111	--undefined--	--undefined--
0.062953	4	1020.341	34.311	1537.311	125.125	3030.147	131.637	3789.587	434.445	--undefined--	--undefined--
0.069203	4	1013.161	32.222	1547.231	130.790	2985.208	211.102	3718.140	451.742	--undefined--	--undefined--
0.075453	4	1005.014	35.788	1545.480	154.796	2954.329	315.041	3759.764	397.762	--undefined--	--undefined--
0.081703	4	1003.975	38.293	1554.649	177.186	2898.104	377.462	3768.985	419.170	--undefined--	--undefined--
0.087953	4	999.864	51.313	1557.623	173.980	2860.551	488.143	3802.973	389.171	--undefined--	--undefined--
0.094203	4	997.588	59.584	1560.730	197.241	2873.493	734.038	3794.171	408.599	--undefined--	--undefined--
0.100453	4	999.201	48.838	1552.009	206.823	2888.984	525.694	3923.101	360.762	--undefined--	--undefined--
0.106703	4	999.520	38.863	1556.104	179.635	2907.404	346.670	4003.702	146.439	--undefined--	--undefined--
0.112953	4	996.745	40.898	1552.208	154.153	2954.373	329.513	3971.419	185.756	--undefined--	--undefined--
0.119203	4	993.974	48.677	1546.491	151.486	2851.143	514.260	3946.308	192.144	--undefined--	--undefined--
0.125453	4	990.087	56.166	1547.176	149.541	2778.253	599.490	3987.913	179.986	--undefined--	--undefined--
0.131703	4	988.660	69.227	1562.444	178.604	2922.803	493.198	3828.102	473.883	--undefined--	--undefined--
0.137953	4	987.684	73.394	1569.334	178.294	2944.735	314.322	3815.740	461.320	--undefined--	--undefined--
0.144203	4	983.043	81.358	1555.635	147.737	2940.122	305.312	3847.510	302.941	--undefined--	--undefined--
0.150453	4	981.977	82.449	1541.465	114.026	2986.614	230.324	3979.868	176.633	--undefined--	--undefined--
0.156703	4	971.641	80.285	1535.176	96.023	2995.558	274.158	3980.693	175.148	--undefined--	--undefined--
0.162953	4	959.469	87.702	1529.703	100.599	2999.342	400.672	3907.117	245.093	--undefined--	--undefined--
0.169203	4	947.990	97.677	1521.361	98.534	2992.767	435.916	3987.531	194.949	--undefined--	--undefined--
0.175453	4	937.473	94.746	1514.254	90.742	2977.503	351.691	4006.743	170.795	--undefined--	--undefined--
0.181703	4	930.412	80.769	1497.752	75.711	2963.395	270.263	3970.051	196.308	--undefined--	--undefined--
0.187953	4	923.436	83.750	1495.764	96.964	2962.826	217.297	3982.436	145.854	--undefined--	--undefined--
0.194203	4	919.782	81.529	1489.111	110.708	2964.775	198.870	3990.831	153.926	--undefined--	--undefined--
0.200453	4	919.149	75.441	1480.693	106.199	2963.954	147.451	4003.340	153.185	--undefined--	--undefined--
0.206703	4	918.647	66.556	1475.848	83.323	2953.860	129.038	4009.942	163.544	--undefined--	--undefined--
0.212953	4	919.669	63.647	1476.947	72.979	2960.289	124.735	3999.719	171.393	--undefined--	--undefined--
0.219203	4	918.992	65.723	1472.373	78.381	2974.869	127.899	4015.468	213.719	--undefined--	--undefined--
0.225453	4	919.306	66.664	1461.168	93.679	2977.607	140.435	3974.599	277.713	--undefined--	--undefined--
0.231703	4	911.744	62.890	1458.150	87.577	2965.681	144.090	3952.289	280.084	--undefined--	--undefined--
0.237953	4	912.985	67.808	1465.591	84.146	2974.912	156.924	3979.114	219.347	--undefined--	--undefined--
0.244203	4	913.548	68.820	1464.454	76.179	2984.513	155.725	3983.784	185.714	--undefined--	--undefined--
0.250453	4	911.657	76.431	1464.282	85.918	2985.705	169.602	4033.131	162.657	--undefined--	--undefined--
0.256703	4	912.573	71.125	1464.972	77.993	2924.726	138.683	4092.072	157.296	--undefined--	--undefined--
0.262953	4	914.726	74.025	1464.746	80.907	2907.569	141.972	4080.463	161.351	--undefined--	--undefined--
0.269203	4	916.168	83.272	1464.276	91.812	2918.115	149.004	4086.678	181.629	--undefined--	--undefined--
0.275453	4	914.093	89.738	1464.271	116.497	2924.618	148.148	4048.896	205.678	--undefined--	--undefined--
0.281703	4	912.246	94.608	1455.706	139.515	2938.148	123.487	4026.718	204.573	--undefined--	--undefined--
0.287953	4	902.664	115.773	1442.348	184.758	2960.253	126.704	4049.605	130.570	--undefined--	--undefined--
0.294203	4	902.020	115.283	1442.716	192.875	2964.711	118.859	4063.768	172.761	--undefined--	--undefined--
0.300453	4	893.103	127.082	1447.446	169.048	2960.453	160.659	4031.161	240.815	--undefined--	--undefined--
0.306703	4	880.297	145.509	1445.560	186.436	2952.090	149.726	3992.778	216.212	--undefined--	--undefined--
0.312953	4	857.980	191.609	1434.279	251.311	2953.000	145.371	4051.602	123.941	--undefined--	--undefined--
0.319203	4	830.843	207.261	1432.141	162.142	2930.766	136.047	4100.617	174.679	--undefined--	--undefined--
0.325453	4	809.934	233.136	1423.123	138.055	2950.967	140.414	4080.175	239.750	--undefined--	--undefined--
0.331703	4	783.196	250.339	1418.203	144.096	2957.606	168.550	4079.639	135.546	--undefined--	--undefined--
0.337953	5	771.348	244.757	1412.496	136.904	2825.296	6198.308	2974.065	229.857	4067.052	77.046
